protein_id,seg_i,seg_j,seg_type_i,seg_type_j,seg_end_i,seg_end_j,emergence_gap_residues,emergence_gap_seconds
F23,6,7,B,A,80,98,18,1.08
F23,6,8,B,B,80,109,29,1.74
F23,7,8,A,B,98,109,11,0.6599999999999999
F23,7,9,A,B,98,124,26,1.56
F23,7,10,A,A,98,150,52,3.12
F23,8,9,B,B,109,124,15,0.8999999999999999
F23,8,10,B,A,109,150,41,2.46
F23,9,10,B,A,124,150,26,1.56
F23,9,11,B,A,124,161,37,2.2199999999999998
F23,10,11,A,A,150,161,11,0.6599999999999999
F24,0,1,A,B,12,22,10,0.6
F24,0,2,A,B,12,34,22,1.3199999999999998
F24,0,3,A,A,12,62,50,3.0
F24,0,5,A,B,12,86,74,4.4399999999999995
F24,0,6,A,B,12,96,84,5.04
F24,0,8,A,B,12,128,116,6.96
F24,1,2,B,B,22,34,12,0.72
F24,1,3,B,A,22,62,40,2.4
F24,1,5,B,B,22,86,64,3.84
F24,1,6,B,B,22,96,74,4.4399999999999995
F24,1,7,B,A,22,112,90,5.3999999999999995
F24,1,8,B,B,22,128,106,6.359999999999999
F24,2,3,B,A,34,62,28,1.68
F24,2,6,B,B,34,96,62,3.7199999999999998
F24,2,7,B,A,34,112,78,4.68
F24,2,8,B,B,34,128,94,5.64
F24,3,4,A,A,62,73,11,0.6599999999999999
F24,3,5,A,B,62,86,24,1.44
F24,3,6,A,B,62,96,34,2.04
F24,3,7,A,A,62,112,50,3.0
F24,3,8,A,B,62,128,66,3.96
F24,4,5,A,B,73,86,13,0.78
F24,4,6,A,B,73,96,23,1.38
F24,4,7,A,A,73,112,39,2.34
F24,5,6,B,B,86,96,10,0.6
F24,5,7,B,A,86,112,26,1.56
F24,6,7,B,A,96,112,16,0.96
F24,7,8,A,B,112,128,16,0.96
F25,0,1,B,B,11,26,15,0.8999999999999999
F25,0,2,B,A,11,47,36,2.16
F25,0,4,B,A,11,89,78,4.68
F25,0,5,B,B,11,101,90,5.3999999999999995
F25,0,6,B,B,11,113,102,6.12
F25,0,7,B,A,11,128,117,7.02
F25,0,8,B,A,11,176,165,9.9
F25,0,9,B,B,11,188,177,10.62
F25,0,11,B,A,11,215,204,12.24
F25,0,14,B,A,11,269,258,15.479999999999999
F25,1,2,B,A,26,47,21,1.26
F25,1,3,B,B,26,59,33,1.98
F25,1,4,B,A,26,89,63,3.78
F25,1,5,B,B,26,101,75,4.5
F25,1,8,B,A,26,176,150,9.0
F25,1,9,B,B,26,188,162,9.719999999999999
F25,2,3,A,B,47,59,12,0.72
F25,2,4,A,A,47,89,42,2.52
F25,2,5,A,B,47,101,54,3.2399999999999998
F25,2,8,A,A,47,176,129,7.739999999999999
F25,2,9,A,B,47,188,141,8.459999999999999
F25,2,11,A,A,47,215,168,10.08
F25,2,12,A,A,47,233,186,11.16
F25,2,13,A,B,47,248,201,12.059999999999999
F25,2,14,A,A,47,269,222,13.32
F25,3,4,B,A,59,89,30,1.7999999999999998
F25,3,8,B,A,59,176,117,7.02
F25,3,9,B,B,59,188,129,7.739999999999999
F25,3,13,B,B,59,248,189,11.34
F25,4,5,A,B,89,101,12,0.72
F25,4,7,A,A,89,128,39,2.34
F25,4,8,A,A,89,176,87,5.22
F25,5,6,B,B,101,113,12,0.72
F25,5,7,B,A,101,128,27,1.6199999999999999
F25,5,8,B,A,101,176,75,4.5
F25,6,7,B,A,113,128,15,0.8999999999999999
F25,6,8,B,A,113,176,63,3.78
F25,7,8,A,A,128,176,48,2.88
F25,8,9,A,B,176,188,12,0.72
F25,9,10,B,A,188,200,12,0.72
F25,9,11,B,A,188,215,27,1.6199999999999999
F25,9,12,B,A,188,233,45,2.6999999999999997
F25,9,13,B,B,188,248,60,3.5999999999999996
F25,9,14,B,A,188,269,81,4.859999999999999
F25,10,11,A,A,200,215,15,0.8999999999999999
F25,10,12,A,A,200,233,33,1.98
F25,10,13,A,B,200,248,48,2.88
F25,10,14,A,A,200,269,69,4.14
F25,11,12,A,A,215,233,18,1.08
F25,11,13,A,B,215,248,33,1.98
F25,11,14,A,A,215,269,54,3.2399999999999998
F25,12,13,A,B,233,248,15,0.8999999999999999
F25,12,14,A,A,233,269,36,2.16
F25,13,14,B,A,248,269,21,1.26
F26,0,1,A,B,17,29,12,0.72
F26,0,2,A,B,17,44,27,1.6199999999999999
F26,0,3,A,A,17,65,48,2.88
F26,0,4,A,A,17,86,69,4.14
F26,0,5,A,A,17,128,111,6.66
F26,0,13,A,A,17,293,276,16.56
F26,1,2,B,B,29,44,15,0.8999999999999999
F26,1,3,B,A,29,65,36,2.16
F26,1,4,B,A,29,86,57,3.42
F26,1,5,B,A,29,128,99,5.9399999999999995
F26,2,3,B,A,44,65,21,1.26
F26,2,4,B,A,44,86,42,2.52
F26,2,5,B,A,44,128,84,5.04
F26,2,6,B,A,44,140,96,5.76
F26,2,7,B,B,44,152,108,6.4799999999999995
F26,2,8,B,A,44,185,141,8.459999999999999
F26,3,4,A,A,65,86,21,1.26
F26,3,5,A,A,65,128,63,3.78
F26,3,7,A,B,65,152,87,5.22
F26,3,8,A,A,65,185,120,7.199999999999999
F26,3,9,A,A,65,209,144,8.64
F26,3,12,A,B,65,263,198,11.879999999999999
F26,3,13,A,A,65,293,228,13.68
F26,3,14,A,B,65,306,241,14.459999999999999
F26,4,5,A,A,86,128,42,2.52
F26,4,6,A,A,86,140,54,3.2399999999999998
F26,4,7,A,B,86,152,66,3.96
F26,4,8,A,A,86,185,99,5.9399999999999995
F26,4,9,A,A,86,209,123,7.38
F26,4,12,A,B,86,263,177,10.62
F26,4,13,A,A,86,293,207,12.42
F26,4,14,A,B,86,306,220,13.2
F26,5,6,A,A,128,140,12,0.72
F26,5,7,A,B,128,152,24,1.44
F26,5,8,A,A,128,185,57,3.42
F26,5,9,A,A,128,209,81,4.859999999999999
F26,5,12,A,B,128,263,135,8.1
F26,5,13,A,A,128,293,165,9.9
F26,5,14,A,B,128,306,178,10.68
F26,6,7,A,B,140,152,12,0.72
F26,6,8,A,A,140,185,45,2.6999999999999997
F26,7,8,B,A,152,185,33,1.98
F26,7,9,B,A,152,209,57,3.42
F26,7,11,B,A,152,251,99,5.9399999999999995
F26,7,12,B,B,152,263,111,6.66
F26,7,13,B,A,152,293,141,8.459999999999999
F26,8,9,A,A,185,209,24,1.44
F26,8,11,A,A,185,251,66,3.96
F26,8,12,A,B,185,263,78,4.68
F26,9,10,A,B,209,227,18,1.08
F26,9,11,A,A,209,251,42,2.52
F26,9,12,A,B,209,263,54,3.2399999999999998
F26,9,13,A,A,209,293,84,5.04
F26,9,14,A,B,209,306,97,5.819999999999999
F26,10,11,B,A,227,251,24,1.44
F26,10,12,B,B,227,263,36,2.16
F26,10,13,B,A,227,293,66,3.96
F26,10,14,B,B,227,306,79,4.74
F26,11,12,A,B,251,263,12,0.72
F26,11,13,A,A,251,293,42,2.52
F26,11,14,A,B,251,306,55,3.3
F26,12,13,B,A,263,293,30,1.7999999999999998
F26,12,14,B,B,263,306,43,2.58
F26,13,14,A,B,293,306,13,0.78
F27,0,1,B,A,10,33,23,1.38
F27,0,4,B,A,10,82,72,4.32
F27,0,5,B,B,10,98,88,5.279999999999999
F27,0,6,B,A,10,131,121,7.26
F27,0,7,B,B,10,143,133,7.9799999999999995
F27,0,8,B,B,10,153,143,8.58
F27,1,2,A,B,33,44,11,0.6599999999999999
F27,1,3,A,B,33,54,21,1.26
F27,1,4,A,A,33,82,49,2.94
F27,1,5,A,B,33,98,65,3.9
F27,1,6,A,A,33,131,98,5.88
F27,1,7,A,B,33,143,110,6.6
F27,1,8,A,B,33,153,120,7.199999999999999
F27,2,3,B,B,44,54,10,0.6
F27,2,4,B,A,44,82,38,2.28
F27,2,5,B,B,44,98,54,3.2399999999999998
F27,2,6,B,A,44,131,87,5.22
F27,3,4,B,A,54,82,28,1.68
F27,3,5,B,B,54,98,44,2.6399999999999997
F27,4,5,A,B,82,98,16,0.96
F27,4,6,A,A,82,131,49,2.94
F27,5,6,B,A,98,131,33,1.98
F27,6,7,A,B,131,143,12,0.72
F27,6,8,A,B,131,153,22,1.3199999999999998
F27,7,8,B,B,143,153,10,0.6
F28,0,2,B,A,13,45,32,1.92
F28,0,3,B,B,13,59,46,2.76
F28,0,4,B,B,13,78,65,3.9
F28,0,5,B,B,13,90,77,4.62
F28,0,6,B,B,13,102,89,5.34
F28,0,7,B,B,13,112,99,5.9399999999999995
F28,0,8,B,B,13,129,116,6.96
F28,1,2,A,A,28,45,17,1.02
F28,1,3,A,B,28,59,31,1.8599999999999999
F28,1,4,A,B,28,78,50,3.0
F28,1,7,A,B,28,112,84,5.04
F28,1,8,A,B,28,129,101,6.06
F28,2,3,A,B,45,59,14,0.84
F28,2,4,A,B,45,78,33,1.98
F28,2,5,A,B,45,90,45,2.6999999999999997
F28,2,7,A,B,45,112,67,4.02
F28,2,8,A,B,45,129,84,5.04
F28,3,4,B,B,59,78,19,1.14
F28,3,5,B,B,59,90,31,1.8599999999999999
F28,3,6,B,B,59,102,43,2.58
F28,3,7,B,B,59,112,53,3.1799999999999997
F28,3,8,B,B,59,129,70,4.2
F28,4,5,B,B,78,90,12,0.72
F28,4,6,B,B,78,102,24,1.44
F28,4,7,B,B,78,112,34,2.04
F28,4,8,B,B,78,129,51,3.06
F28,5,6,B,B,90,102,12,0.72
F28,5,7,B,B,90,112,22,1.3199999999999998
F28,6,7,B,B,102,112,10,0.6
F28,7,8,B,B,112,129,17,1.02
F29,0,1,B,A,11,31,20,1.2
F29,0,2,B,A,11,45,34,2.04
F29,0,3,B,A,11,84,73,4.38
F29,0,4,B,B,11,94,83,4.9799999999999995
F29,0,5,B,A,11,108,97,5.819999999999999
F29,1,2,A,A,31,45,14,0.84
F29,1,3,A,A,31,84,53,3.1799999999999997
F29,1,4,A,B,31,94,63,3.78
F29,1,5,A,A,31,108,77,4.62
F29,2,3,A,A,45,84,39,2.34
F29,3,4,A,B,84,94,10,0.6
F29,3,5,A,A,84,108,24,1.44
F29,4,5,B,A,94,108,14,0.84
F30,0,2,B,A,10,44,34,2.04
F30,0,3,B,A,10,56,46,2.76
F30,0,4,B,A,10,83,73,4.38
F30,0,6,B,B,10,107,97,5.819999999999999
F30,0,7,B,A,10,123,113,6.779999999999999
F30,1,2,A,A,24,44,20,1.2
F30,1,3,A,A,24,56,32,1.92
F30,1,4,A,A,24,83,59,3.54
F30,1,5,A,A,24,96,72,4.32
F30,1,6,A,B,24,107,83,4.9799999999999995
F30,1,7,A,A,24,123,99,5.9399999999999995
F30,2,3,A,A,44,56,12,0.72
F30,2,4,A,A,44,83,39,2.34
F30,2,5,A,A,44,96,52,3.12
F30,2,6,A,B,44,107,63,3.78
F30,2,7,A,A,44,123,79,4.74
F30,3,4,A,A,56,83,27,1.6199999999999999
F30,3,6,A,B,56,107,51,3.06
F30,3,7,A,A,56,123,67,4.02
F30,4,5,A,A,83,96,13,0.78
F30,4,6,A,B,83,107,24,1.44
F30,4,7,A,A,83,123,40,2.4
F30,5,6,A,B,96,107,11,0.6599999999999999
F30,6,7,B,A,107,123,16,0.96
F31,0,1,B,B,14,32,18,1.08
F31,0,2,B,B,14,44,30,1.7999999999999998
F31,0,3,B,A,14,62,48,2.88
F31,0,7,B,A,14,137,123,7.38
F31,0,12,B,A,14,239,225,13.5
F31,0,14,B,B,14,269,255,15.299999999999999
F31,0,15,B,B,14,281,267,16.02
F31,0,16,B,A,14,302,288,17.28
F31,1,2,B,B,32,44,12,0.72
F31,1,3,B,A,32,62,30,1.7999999999999998
F31,1,7,B,A,32,137,105,6.3
F31,1,14,B,B,32,269,237,14.219999999999999
F31,1,15,B,B,32,281,249,14.94
F31,1,16,B,A,32,302,270,16.2
F31,2,3,B,A,44,62,18,1.08
F31,2,4,B,B,44,74,30,1.7999999999999998
F31,2,15,B,B,44,281,237,14.219999999999999
F31,2,16,B,A,44,302,258,15.479999999999999
F31,3,4,A,B,62,74,12,0.72
F31,3,5,A,B,62,92,30,1.7999999999999998
F31,3,6,A,A,62,104,42,2.52
F31,3,7,A,A,62,137,75,4.5
F31,3,14,A,B,62,269,207,12.42
F31,3,15,A,B,62,281,219,13.139999999999999
F31,3,16,A,A,62,302,240,14.399999999999999
F31,3,17,A,A,62,341,279,16.74
F31,4,5,B,B,74,92,18,1.08
F31,4,6,B,A,74,104,30,1.7999999999999998
F31,4,7,B,A,74,137,63,3.78
F31,4,10,B,A,74,188,114,6.84
F31,4,14,B,B,74,269,195,11.7
F31,4,16,B,A,74,302,228,13.68
F31,4,17,B,A,74,341,267,16.02
F31,5,6,B,A,92,104,12,0.72
F31,5,7,B,A,92,137,45,2.6999999999999997
F31,5,14,B,B,92,269,177,10.62
F31,5,15,B,B,92,281,189,11.34
F31,5,16,B,A,92,302,210,12.6
F31,5,17,B,A,92,341,249,14.94
F31,6,7,A,A,104,137,33,1.98
F31,6,10,A,A,104,188,84,5.04
F31,6,14,A,B,104,269,165,9.9
F31,6,15,A,B,104,281,177,10.62
F31,6,16,A,A,104,302,198,11.879999999999999
F31,6,17,A,A,104,341,237,14.219999999999999
F31,7,8,A,B,137,149,12,0.72
F31,7,9,A,A,137,167,30,1.7999999999999998
F31,7,11,A,B,137,200,63,3.78
F31,7,12,A,A,137,239,102,6.12
F31,7,13,A,B,137,251,114,6.84
F31,7,14,A,B,137,269,132,7.92
F31,7,15,A,B,137,281,144,8.64
F31,7,16,A,A,137,302,165,9.9
F31,7,17,A,A,137,341,204,12.24
F31,8,9,B,A,149,167,18,1.08
F31,8,11,B,B,149,200,51,3.06
F31,8,12,B,A,149,239,90,5.3999999999999995
F31,8,13,B,B,149,251,102,6.12
F31,9,10,A,A,167,188,21,1.26
F31,9,11,A,B,167,200,33,1.98
F31,9,12,A,A,167,239,72,4.32
F31,9,13,A,B,167,251,84,5.04
F31,9,14,A,B,167,269,102,6.12
F31,9,17,A,A,167,341,174,10.44
F31,9,18,A,A,167,359,192,11.52
F31,9,19,A,B,167,369,202,12.12
F31,10,13,A,B,188,251,63,3.78
F31,10,14,A,B,188,269,81,4.859999999999999
F31,10,17,A,A,188,341,153,9.18
F31,10,18,A,A,188,359,171,10.26
F31,10,19,A,B,188,369,181,10.86
F31,11,12,B,A,200,239,39,2.34
F31,11,13,B,B,200,251,51,3.06
F31,11,14,B,B,200,269,69,4.14
F31,11,18,B,A,200,359,159,9.54
F31,11,19,B,B,200,369,169,10.139999999999999
F31,12,13,A,B,239,251,12,0.72
F31,12,14,A,B,239,269,30,1.7999999999999998
F31,12,16,A,A,239,302,63,3.78
F31,12,17,A,A,239,341,102,6.12
F31,12,18,A,A,239,359,120,7.199999999999999
F31,13,14,B,B,251,269,18,1.08
F31,13,17,B,A,251,341,90,5.3999999999999995
F31,14,15,B,B,269,281,12,0.72
F31,14,16,B,A,269,302,33,1.98
F31,14,17,B,A,269,341,72,4.32
F31,15,16,B,A,281,302,21,1.26
F31,15,17,B,A,281,341,60,3.5999999999999996
F31,16,17,A,A,302,341,39,2.34
F31,17,18,A,A,341,359,18,1.08
F31,17,19,A,B,341,369,28,1.68
F31,18,19,A,B,359,369,10,0.6
F32,0,1,B,B,13,24,11,0.6599999999999999
F32,0,2,B,A,13,69,56,3.36
F32,0,3,B,A,13,122,109,6.54
F32,1,2,B,A,24,69,45,2.6999999999999997
F32,1,3,B,A,24,122,98,5.88
F32,2,3,A,A,69,122,53,3.1799999999999997
F32,2,4,A,A,69,134,65,3.9
F32,3,4,A,A,122,134,12,0.72
F33,0,2,B,B,11,38,27,1.6199999999999999
F33,0,3,B,A,11,62,51,3.06
F33,0,4,B,B,11,83,72,4.32
F33,0,14,B,B,11,260,249,14.94
F33,0,16,B,A,11,299,288,17.28
F33,0,18,B,B,11,353,342,20.52
F33,0,19,B,B,11,371,360,21.599999999999998
F33,1,2,B,B,23,38,15,0.8999999999999999
F33,1,3,B,A,23,62,39,2.34
F33,1,13,B,A,23,242,219,13.139999999999999
F33,1,14,B,B,23,260,237,14.219999999999999
F33,1,15,B,B,23,272,249,14.94
F33,1,16,B,A,23,299,276,16.56
F33,1,17,B,B,23,317,294,17.64
F33,1,18,B,B,23,353,330,19.8
F33,1,19,B,B,23,371,348,20.88
F33,2,3,B,A,38,62,24,1.44
F33,2,4,B,B,38,83,45,2.6999999999999997
F33,2,5,B,B,38,98,60,3.5999999999999996
F33,2,6,B,A,38,131,93,5.58
F33,2,8,B,A,38,161,123,7.38
F33,2,9,B,B,38,176,138,8.28
F33,2,10,B,A,38,203,165,9.9
F33,2,13,B,A,38,242,204,12.24
F33,2,15,B,B,38,272,234,14.04
F33,2,16,B,A,38,299,261,15.66
F33,2,17,B,B,38,317,279,16.74
F33,2,18,B,B,38,353,315,18.9
F33,2,19,B,B,38,371,333,19.98
F33,3,4,A,B,62,83,21,1.26
F33,3,5,A,B,62,98,36,2.16
F33,3,6,A,A,62,131,69,4.14
F33,3,8,A,A,62,161,99,5.9399999999999995
F33,3,9,A,B,62,176,114,6.84
F33,3,16,A,A,62,299,237,14.219999999999999
F33,3,17,A,B,62,317,255,15.299999999999999
F33,4,5,B,B,83,98,15,0.8999999999999999
F33,4,6,B,A,83,131,48,2.88
F33,4,9,B,B,83,176,93,5.58
F33,4,12,B,A,83,227,144,8.64
F33,4,18,B,B,83,353,270,16.2
F33,4,19,B,B,83,371,288,17.28
F33,5,6,B,A,98,131,33,1.98
F33,5,7,B,B,98,143,45,2.6999999999999997
F33,5,8,B,A,98,161,63,3.78
F33,5,9,B,B,98,176,78,4.68
F33,5,12,B,A,98,227,129,7.739999999999999
F33,5,16,B,A,98,299,201,12.059999999999999
F33,5,17,B,B,98,317,219,13.139999999999999
F33,5,18,B,B,98,353,255,15.299999999999999
F33,5,19,B,B,98,371,273,16.38
F33,6,7,A,B,131,143,12,0.72
F33,6,8,A,A,131,161,30,1.7999999999999998
F33,6,9,A,B,131,176,45,2.6999999999999997
F33,6,16,A,A,131,299,168,10.08
F33,6,17,A,B,131,317,186,11.16
F33,7,8,B,A,143,161,18,1.08
F33,7,9,B,B,143,176,33,1.98
F33,7,17,B,B,143,317,174,10.44
F33,8,9,A,B,161,176,15,0.8999999999999999
F33,8,15,A,B,161,272,111,6.66
F33,8,16,A,A,161,299,138,8.28
F33,8,17,A,B,161,317,156,9.36
F33,9,10,B,A,176,203,27,1.6199999999999999
F33,9,11,B,A,176,215,39,2.34
F33,9,12,B,A,176,227,51,3.06
F33,9,14,B,B,176,260,84,5.04
F33,9,15,B,B,176,272,96,5.76
F33,9,16,B,A,176,299,123,7.38
F33,9,17,B,B,176,317,141,8.459999999999999
F33,9,18,B,B,176,353,177,10.62
F33,9,19,B,B,176,371,195,11.7
F33,10,12,A,A,203,227,24,1.44
F33,10,13,A,A,203,242,39,2.34
F33,10,14,A,B,203,260,57,3.42
F33,10,15,A,B,203,272,69,4.14
F33,10,17,A,B,203,317,114,6.84
F33,10,18,A,B,203,353,150,9.0
F33,10,19,A,B,203,371,168,10.08
F33,11,12,A,A,215,227,12,0.72
F33,11,13,A,A,215,242,27,1.6199999999999999
F33,11,14,A,B,215,260,45,2.6999999999999997
F33,11,15,A,B,215,272,57,3.42
F33,11,18,A,B,215,353,138,8.28
F33,12,13,A,A,227,242,15,0.8999999999999999
F33,12,14,A,B,227,260,33,1.98
F33,12,15,A,B,227,272,45,2.6999999999999997
F33,12,17,A,B,227,317,90,5.3999999999999995
F33,12,18,A,B,227,353,126,7.56
F33,12,19,A,B,227,371,144,8.64
F33,13,14,A,B,242,260,18,1.08
F33,13,15,A,B,242,272,30,1.7999999999999998
F33,13,17,A,B,242,317,75,4.5
F33,13,18,A,B,242,353,111,6.66
F33,13,19,A,B,242,371,129,7.739999999999999
F33,14,18,B,B,260,353,93,5.58
F33,14,19,B,B,260,371,111,6.66
F33,15,17,B,B,272,317,45,2.6999999999999997
F33,15,18,B,B,272,353,81,4.859999999999999
F33,15,19,B,B,272,371,99,5.9399999999999995
F33,16,17,A,B,299,317,18,1.08
F33,17,18,B,B,317,353,36,2.16
F33,17,19,B,B,317,371,54,3.2399999999999998
F33,18,19,B,B,353,371,18,1.08
F34,0,1,B,A,9,27,18,1.08
F34,0,2,B,B,9,43,34,2.04
F34,0,4,B,B,9,63,54,3.2399999999999998
F34,0,6,B,A,9,117,108,6.4799999999999995
F34,0,7,B,A,9,141,132,7.92
F34,0,8,B,A,9,159,150,9.0
F34,0,9,B,A,9,183,174,10.44
F34,0,10,B,B,9,193,184,11.04
F34,0,11,B,B,9,211,202,12.12
F34,0,12,B,B,9,221,212,12.719999999999999
F34,0,13,B,B,9,231,222,13.32
F34,0,14,B,B,9,246,237,14.219999999999999
F34,1,2,A,B,27,43,16,0.96
F34,1,3,A,B,27,53,26,1.56
F34,1,4,A,B,27,63,36,2.16
F34,1,6,A,A,27,117,90,5.3999999999999995
F34,1,13,A,B,27,231,204,12.24
F34,1,14,A,B,27,246,219,13.139999999999999
F34,2,3,B,B,43,53,10,0.6
F34,2,4,B,B,43,63,20,1.2
F34,2,5,B,B,43,73,30,1.7999999999999998
F34,2,6,B,A,43,117,74,4.4399999999999995
F34,2,7,B,A,43,141,98,5.88
F34,2,8,B,A,43,159,116,6.96
F34,2,11,B,B,43,211,168,10.08
F34,2,12,B,B,43,221,178,10.68
F34,2,13,B,B,43,231,188,11.28
F34,2,14,B,B,43,246,203,12.18
F34,3,4,B,B,53,63,10,0.6
F34,3,6,B,A,53,117,64,3.84
F34,4,6,B,A,63,117,54,3.2399999999999998
F34,4,7,B,A,63,141,78,4.68
F34,4,8,B,A,63,159,96,5.76
F34,4,13,B,B,63,231,168,10.08
F34,4,14,B,B,63,246,183,10.98
F34,5,6,B,A,73,117,44,2.6399999999999997
F34,5,7,B,A,73,141,68,4.08
F34,5,8,B,A,73,159,86,5.16
F34,6,7,A,A,117,141,24,1.44
F34,6,8,A,A,117,159,42,2.52
F34,6,9,A,A,117,183,66,3.96
F34,6,11,A,B,117,211,94,5.64
F34,6,13,A,B,117,231,114,6.84
F34,7,8,A,A,141,159,18,1.08
F34,7,9,A,A,141,183,42,2.52
F34,7,10,A,B,141,193,52,3.12
F34,7,11,A,B,141,211,70,4.2
F34,7,13,A,B,141,231,90,5.3999999999999995
F34,8,9,A,A,159,183,24,1.44
F34,8,10,A,B,159,193,34,2.04
F34,8,11,A,B,159,211,52,3.12
F34,8,13,A,B,159,231,72,4.32
F34,9,10,A,B,183,193,10,0.6
F34,9,11,A,B,183,211,28,1.68
F34,9,12,A,B,183,221,38,2.28
F34,9,13,A,B,183,231,48,2.88
F34,10,11,B,B,193,211,18,1.08
F34,10,12,B,B,193,221,28,1.68
F34,10,13,B,B,193,231,38,2.28
F34,11,12,B,B,211,221,10,0.6
F34,11,13,B,B,211,231,20,1.2
F34,11,14,B,B,211,246,35,2.1
F34,12,13,B,B,221,231,10,0.6
F34,12,14,B,B,221,246,25,1.5
F34,13,14,B,B,231,246,15,0.8999999999999999
F35,0,1,B,B,11,26,15,0.8999999999999999
F35,0,3,B,A,11,59,48,2.88
F35,0,4,B,A,11,95,84,5.04
F35,0,5,B,B,11,107,96,5.76
F35,0,6,B,B,11,119,108,6.4799999999999995
F35,0,7,B,B,11,131,120,7.199999999999999
F35,0,8,B,A,11,152,141,8.459999999999999
F35,0,10,B,A,11,179,168,10.08
F35,0,12,B,B,11,212,201,12.059999999999999
F35,0,13,B,A,11,248,237,14.219999999999999
F35,0,14,B,B,11,266,255,15.299999999999999
F35,1,2,B,B,26,38,12,0.72
F35,1,3,B,A,26,59,33,1.98
F35,1,4,B,A,26,95,69,4.14
F35,1,5,B,B,26,107,81,4.859999999999999
F35,1,7,B,B,26,131,105,6.3
F35,1,10,B,A,26,179,153,9.18
F35,1,12,B,B,26,212,186,11.16
F35,1,13,B,A,26,248,222,13.32
F35,1,14,B,B,26,266,240,14.399999999999999
F35,2,3,B,A,38,59,21,1.26
F35,2,4,B,A,38,95,57,3.42
F35,2,5,B,B,38,107,69,4.14
F35,2,13,B,A,38,248,210,12.6
F35,2,14,B,B,38,266,228,13.68
F35,3,4,A,A,59,95,36,2.16
F35,3,5,A,B,59,107,48,2.88
F35,3,6,A,B,59,119,60,3.5999999999999996
F35,3,7,A,B,59,131,72,4.32
F35,3,8,A,A,59,152,93,5.58
F35,3,10,A,A,59,179,120,7.199999999999999
F35,3,12,A,B,59,212,153,9.18
F35,3,13,A,A,59,248,189,11.34
F35,3,14,A,B,59,266,207,12.42
F35,4,5,A,B,95,107,12,0.72
F35,4,6,A,B,95,119,24,1.44
F35,4,7,A,B,95,131,36,2.16
F35,4,8,A,A,95,152,57,3.42
F35,4,10,A,A,95,179,84,5.04
F35,4,13,A,A,95,248,153,9.18
F35,5,6,B,B,107,119,12,0.72
F35,5,7,B,B,107,131,24,1.44
F35,5,8,B,A,107,152,45,2.6999999999999997
F35,5,10,B,A,107,179,72,4.32
F35,5,13,B,A,107,248,141,8.459999999999999
F35,6,7,B,B,119,131,12,0.72
F35,6,8,B,A,119,152,33,1.98
F35,7,8,B,A,131,152,21,1.26
F35,7,9,B,A,131,164,33,1.98
F35,7,10,B,A,131,179,48,2.88
F35,7,12,B,B,131,212,81,4.859999999999999
F35,7,13,B,A,131,248,117,7.02
F35,8,9,A,A,152,164,12,0.72
F35,8,10,A,A,152,179,27,1.6199999999999999
F35,8,12,A,B,152,212,60,3.5999999999999996
F35,8,13,A,A,152,248,96,5.76
F35,9,10,A,A,164,179,15,0.8999999999999999
F35,9,11,A,A,164,197,33,1.98
F35,9,12,A,B,164,212,48,2.88
F35,10,11,A,A,179,197,18,1.08
F35,10,12,A,B,179,212,33,1.98
F35,10,13,A,A,179,248,69,4.14
F35,11,12,A,B,197,212,15,0.8999999999999999
F35,11,13,A,A,197,248,51,3.06
F35,12,13,B,A,212,248,36,2.16
F35,13,14,A,B,248,266,18,1.08
F37,0,1,A,B,18,30,12,0.72
F37,0,2,A,A,18,43,25,1.5
F37,0,4,A,B,18,70,52,3.12
F37,0,5,A,B,18,82,64,3.84
F37,0,6,A,B,18,92,74,4.4399999999999995
F37,0,7,A,B,18,106,88,5.279999999999999
F37,1,2,B,A,30,43,13,0.78
F37,1,3,B,A,30,56,26,1.56
F37,1,4,B,B,30,70,40,2.4
F37,1,5,B,B,30,82,52,3.12
F37,1,6,B,B,30,92,62,3.7199999999999998
F37,1,7,B,B,30,106,76,4.56
F37,2,3,A,A,43,56,13,0.78
F37,2,4,A,B,43,70,27,1.6199999999999999
F37,2,5,A,B,43,82,39,2.34
F37,2,6,A,B,43,92,49,2.94
F37,2,7,A,B,43,106,63,3.78
F37,3,4,A,B,56,70,14,0.84
F37,3,5,A,B,56,82,26,1.56
F37,3,6,A,B,56,92,36,2.16
F37,4,5,B,B,70,82,12,0.72
F37,4,6,B,B,70,92,22,1.3199999999999998
F37,5,6,B,B,82,92,10,0.6
F37,5,7,B,B,82,106,24,1.44
F37,6,7,B,B,92,106,14,0.84
F38,0,1,A,B,18,34,16,0.96
F38,0,2,A,B,18,49,31,1.8599999999999999
F38,0,3,A,B,18,62,44,2.6399999999999997
F38,0,4,A,B,18,75,57,3.42
F38,1,2,B,B,34,49,15,0.8999999999999999
F38,1,3,B,B,34,62,28,1.68
F38,1,4,B,B,34,75,41,2.46
F38,2,3,B,B,49,62,13,0.78
F38,2,4,B,B,49,75,26,1.56
F38,3,4,B,B,62,75,13,0.78
